Rank,State,% that is Public Land,% that is Private Land
1,AK,95.8%,4.2%
2,NV,87.8%,12.2%
3,UT,75.2%,24.8%
4,ID,70.4%,29.6%
5,OR,60.4%,39.6%
6,AZ,56.8%,43.2%
7,WY,55.9%,44.1%
8,CA,52.1%,47.9%
9,NM,47.4%,52.6%
10,CO,43.3%,56.7%
11,WA,41.9%,58.1%
12,MT,37.5%,62.5%
13,NY,37.1%,62.9%
14,FL,29.2%,70.8%
15,MI,28.1%,71.9%
16,MN,23.5%,76.5%
17,HI,19.0%,81.0%
18,NJ,18.3%,81.7%
19,NH,18.0%,82.0%
20,WI,17.8%,82.2%
21,AR,17.3%,82.7%
22,VA,17.1%,82.9%
23,WV,16.5%,83.5%
24,PA,16.1%,83.9%
25,VT,15.8%,84.2%
26,NC,14.6%,85.4%
27,TN,14.1%,85.9%
28,KY,11.8%,88.2%
29,SC,11.8%,88.2%
30,MO,11.2%,88.8%
31,MS,10.9%,89.1%
32,LA,10.7%,89.3%
33,GA,9.7%,90.3%
34,ND,9.1%,90.9%
35,SD,8.9%,91.1%
36,MD,7.6%,92.4%
37,DE,7.4%,92.6%
38,AL,7.1%,92.9%
39,MA,6.3%,93.7%
40,CT,6.2%,93.8%
41,ME,5.7%,94.3%
42,OK,4.6%,95.4%
43,IN,4.5%,95.5%
44,OH,4.2%,95.8%
45,TX,4.2%,95.8%
46,IL,4.1%,95.9%
47,IA,2.8%,97.2%
48,NE,2.8%,97.2%
49,KS,1.9%,98.1%
50,RI,1.5%,98.5%
,USA,39.8%,60.2%
