State,Highest Location,m,Lowest Location,m,Average elevation,Difference elevation
Alabama,Cheaha Mountain,733,Gulf of Mexico,0,150,733
Alaska,Mount McKinley (Denali),6198,Pacific Ocean,0,580,6198
Arizona,Humphreys Peak,3853,Colorado River,21,1300,3832
Arkansas,Magazine Mountain,840,Ouachita River,17,200,823
California,Mount Whitney[1],4421,Death Valley,-86,880,4505
Colorado,Mount Elbert,4401,Arikaree River,1010,2100,3391
Connecticut,Mount Frissell,726,Long Island Sound,0,150,726
Delaware,Ebright Azimuth,137,Atlantic Ocean,0,20,137
District of Columbia,Tenleytown,125,Potomac River,0,50,125
Florida,Britton Hill,105,Atlantic Ocean,0,30,105
Georgia,Brasstown Bald,1459,Atlantic Ocean,0,180,1459
Hawaii,Mauna Kea,4208,Pacific Ocean,0,920,4208
Idaho,Borah Peak,3862,Snake River,217,1500,3645
Illinois,Charles Mound,377,Mississippi River,85,180,292
Indiana,Hoosier Hill,383,Ohio River,98,210,285
Iowa,Hawkeye Point,509,Mississippi River,146,340,363
Kansas,Mount Sunflower,1232,Verdigris River,207,610,1025
Kentucky,Black Mountain[1],1263,Mississippi River,78,230,1185
Louisiana,Driskill Mountain,163,New Orleans,-2,30,165
Maine,Mount Katahdin,1606,Atlantic Ocean,0,180,1606
Maryland,Backbone Mountain,1025,Atlantic Ocean,0,110,1025
Massachusetts,Mount Greylock,1064,Atlantic Ocean,0,150,1064
Michigan,Mount Arvon,604,Lake Erie,174,280,430
Minnesota,Eagle Mountain,702,Lake Superior,183,366,519
Mississippi,Woodall Mountain,246,Gulf of Mexico,0,90,246
Missouri,Taum Sauk Mountain,540,Saint Francis River,70,240,470
Montana,Granite Peak,3904,Kootenai River,549,1000,3355
Nebraska,Panorama Point,1654,Missouri River,256,790,1398
Nevada,Boundary Peak,4007,Colorado River,146,1700,3861
New Hampshire,Mount Washington,1918,Atlantic Ocean,0,300,1918
New Jersey,High Point,550,Atlantic Ocean,0,80,550
New Mexico,Wheeler Peak,4014,Red Bluff Reservoir,867,1700,3147
New York,Mount Marcy,1630,Atlantic Ocean,0,300,1630
North Carolina,Mount Mitchell,2039,Atlantic Ocean,0,210,2039
North Dakota,White Butte,1069,Red River,229,580,840
Ohio,Campbell Hill,472,Ohio River,139,260,333
Oklahoma,Black Mesa,1517,Little River,88,400,1429
Oregon,Mount Hood,3428,Pacific Ocean,0,1000,3428
Pennsylvania,Mount Davis,980,Delaware River,0,340,980
Rhode Island,Jerimoth Hill,248,Atlantic Ocean,0,110,248
South Carolina,Sassafras Mountain,1086,Atlantic Ocean,0,110,1086
South Dakota,Harney Peak,2209,Big Stone Lake,295,670,1914
Tennessee,Clingmans Dome,2026,Mississippi River,54,280,1972
Texas,Guadalupe Peak,2668,Gulf of Mexico,0,520,2668
Utah,Kings Peak,4126,Beaver Dam Wash,610,1860,3516
Vermont,Mount Mansfield,1340,Lake Champlain,29,300,1311
Virginia,Mount Rogers,1747,Atlantic Ocean,0,290,1747
Washington,Mount Rainier,4395,Pacific Ocean,0,520,4395
West Virginia,Spruce Knob,1483,Potomac River,73,460,1410
Wisconsin,Timms Hill,595,Lake Michigan,177,320,418
Wyoming,Gannett Peak,4210,Belle Fourche River,945,2044,3265
