city,average,winter,spring,summer,fall,january,february,march,april,may,june,july,august,september,october,november,december,numeroNoSePaKe,otraVezCity
"Mt. Washington, New Hampshire",35.5, 45.20, 35.00, 26.57, 35.40, 46.8, 44.7, 40.5, 34.6, 29.9, 28.5, 26, 25.2, 30.1, 35.8, 40.3, 44.1, 279,Mt-Washington-New-Hampshire
"Cold Bay, Alaska",16.2, 17.10, 16.13, 15.00, 16.43, 16.6, 17.4, 16.6, 16.1, 15.7, 15.2, 14.6, 15.2, 15.8, 16.2, 17.3, 17.3, 12,Cold-Bay-Alaska
"St. Paul Island, Alaska",15.5, 18.27, 15.57, 11.97, 16.17, 18.6, 18.4, 16.8, 16, 13.9, 12.4, 11.2, 12.3, 14.6, 16.2, 17.7, 17.8, 268,St-Paul-Island-Alaska
"Dedham, Massachusetts",15, 16.63, 15.70, 12.93, 14.70, 16.8, 16.7, 16.9, 15.9, 14.3, 13.5, 12.8, 12.5, 13.4, 14.9, 15.8, 16.4, 113,Dedham-Massachusetts
"Kwajalein - Marshall Islands",13.5, 16.80, 15.30, 11.47, 10.50, 17.2, 16.4, 16.2, 15.5, 14.2, 13.4, 11.4, 9.6, 9, 10, 12.5, 16.8, 295,Kwajalein-Marshall-Islands
"Lihue, Hawaii",13.3, 12.40, 13.77, 14.47, 12.77, 12, 12.5, 13.6, 14.5, 13.2, 14.5, 14.8, 14.1, 12.6, 12.5, 13.2, 12.7, 80,Lihue-Hawaii
"Kaktovik, Alaska",13.3, 14.47, 12.80, 11.43, 14.30, 15.1, 14.4, 13.7, 12, 12.7, 11.6, 10.9, 11.8, 13.2, 14.8, 14.9, 13.9, 8,Kaktovik-Alaska
"Dodge City, Kansas",13.2, 12.70, 14.40, 12.67, 12.93, 12.5, 13.1, 14.4, 14.9, 13.9, 13.7, 12.5, 11.8, 12.9, 12.9, 13, 12.5, 97,Dodge-City-Kansas
"Kahului, Hawaii",12.9, 11.03, 13.00, 15.37, 12.30, 10.8, 11.3, 12.6, 13.4, 13, 15.5, 15.5, 15.1, 13.2, 12, 11.7, 11, 79,Kahului-Hawaii
"Amarillo, Texas",12.8, 12.33, 14.13, 12.57, 12.33, 12.1, 12.8, 14, 14.7, 13.7, 13.9, 12.4, 11.4, 12, 12.4, 12.6, 12.1, 221,Amarillo-Texas
"Barrow, Alaska",12.6, 12.80, 11.90, 12.17, 13.37, 12.7, 12.8, 11.6, 11.7, 12.4, 12, 12.2, 12.3, 13.1, 13.9, 13.1, 12.9, 7,Barrow-Alaska
"Cheyenne, Wyoming",12.4, 14.00, 13.20, 10.33, 11.93, 14.6, 13.6, 13.8, 13.6, 12.2, 11.1, 10, 9.9, 10.6, 11.9, 13.3, 13.8, 260,Cheyenne-Wyoming
"Rochester, Minnesota",12.2, 13.30, 13.33, 10.13, 11.93, 13.6, 13.2, 13.4, 13.8, 12.8, 11.3, 9.8, 9.3, 10.6, 11.9, 13.3, 13.1, 127,Rochester-Minnesota
"New York, New York",12.2, 13.60, 12.73, 10.57, 11.77, 13.7, 13.8, 13.8, 12.8, 11.6, 11, 10.4, 10.3, 11, 11.6, 12.7, 13.3, 168,New-York-New-York
"Goodland, Kansas",12.2, 12.00, 13.53, 11.43, 11.70, 12, 12.3, 13.4, 14.1, 13.1, 12.3, 11.3, 10.7, 11.5, 11.7, 11.9, 11.7, 98,Goodland-Kansas
"Clayton, New Mexico",12.1, 11.83, 13.30, 11.53, 11.63, 11.5, 12.3, 12.9, 14, 13, 12.7, 11.4, 10.5, 11.3, 11.6, 12, 11.7, 160,Clayton-New-Mexico
"Casper, Wyoming",12, 14.80, 11.83, 9.77, 11.67, 15.5, 13.8, 12.8, 11.8, 10.9, 10.4, 9.3, 9.6, 10, 11.2, 13.8, 15.1, 259,Casper-Wyoming
"Lubbock, Texas",12, 11.87, 13.97, 11.37, 10.90, 11.8, 12.4, 13.8, 14.4, 13.7, 13.2, 11, 9.9, 10.2, 11, 11.5, 11.4, 232,Lubbock-Texas
"Kotzebue, Alaska",11.8, 12.30, 10.53, 11.43, 12.80, 11.8, 12.5, 10.6, 10.7, 10.3, 10.7, 11.5, 12.1, 12.3, 12.9, 13.2, 12.6, 19,Kotzebue-Alaska
"Inwood, New York",11.8, 13.00, 12.57, 10.30, 11.17, 13, 13.3, 13.5, 12.7, 11.5, 10.7, 10.2, 10, 10.4, 11, 12.1, 12.7, 167,Inwood-New-York
